תאריך,קליקים,הופעות,שיעור קליקים,מקום
2026-01-15,0,14,0%,7.9
2026-01-16,3,15,20%,6.7
2026-01-17,0,8,0%,15.2
2026-01-18,2,20,10%,14.9
2026-01-19,0,20,0%,5.4
2026-01-20,2,14,14.29%,8.4
2026-01-21,1,14,7.14%,7.9
2026-01-22,1,26,3.85%,10.2
2026-01-23,1,14,7.14%,14.4
2026-01-24,0,5,0%,8.8
2026-01-25,1,14,7.14%,6.5
2026-01-26,1,20,5%,10.4
2026-01-27,4,24,16.67%,6.9
